OWNER_ID,OWNER_AGE,OWNER_GENDER,DISTRICT,DISTRICT_QUARTER,BREED1,BREED1_MIXED,BREED2,BREED2_MIXED,DOG_BIRTH_YEAR,DOG_GENDER,COLOR
126,51-60,male,9,92,Welsh Terrier,,,,2011,female,black / brown
574,61-70,female,2,23,Cairn Terrier,,,,2002,female,brindle
695,41-50,male,6,63,Labrador Retriever,,,,2012,female,brown
893,61-70,female,7,71,Mittelschnauzer,,,,2010,female,black
1177,51-60,male,10,102,Shih Tzu,,,,2011,male,black-and-white
4004,61-70,female,3,34,Dackel,,,,2010,male,brown
4050,41-50,female,11,111,Bichon frisé,,,,2012,male,White
4155,61-70,female,9,92,Zwergdackel,,,,2002,male,black / gray
4203,41-50,female,2,21,Labrador Retriever,,Leonberger,,2005,female,Brown black
4215,41-50,female,8,81,Bergamasker,Mixed,,,2004,female,black
4215,41-50,female,8,81,Border Collie,Mixed,,,2001,male,black
4215,41-50,female,8,81,Bergamasker,Mixed,,,2001,female,gray / brown
4239,61-70,female,10,102,Pinscher,Mixed,,,2013,female,Brown black
4261,71-80,female,7,71,Labrador Retriever,,,,2012,female,beige
4281,61-70,female,9,91,Chihuahua,,,,2011,female,tan
4281,61-70,female,9,91,Chihuahua,,,,2014,female,black / white / brown
4362,61-70,female,7,74,West Highland White Terrier,,,,2002,male,White
4726,51-60,male,5,52,Mischling klein,,,,2007,male,black
4726,51-60,male,5,52,Golden Retriever,,,,2013,female,cream
4786,41-50,male,3,34,Weimaraner,,,,2013,female,silver
4801,51-60,male,4,42,Tibetan Spaniel,,,,2013,female,black / brown
4880,51-60,male,5,52,Leonberger,,,,2011,male,golden brown
4889,51-60,male,8,82,Shiba Inu,,,,2003,female,maroon
4908,51-60,male,5,51,Mischling klein,,,,1999,female,tan
4908,51-60,male,5,51,Mischling klein,,,,2000,male,black / brown / white
5088,51-60,male,7,72,Labrador Retriever,,,,2014,female,black
5113,51-60,male,11,119,Beagle,,,,2010,female,tricolor
5225,61-70,male,3,34,Lagotto Romagnolo,,,,2007,male,brown
5227,61-70,male,10,101,Border Terrier,,,,2011,female,tricolor
5348,61-70,male,7,74,Magyar Viszla,,,,2005,female,yellow
5361,61-70,male,7,74,Prager Rattler,,,,2000,female,black / brown
5406,51-60,male,6,61,Französische Bulldogge,,,,2013,male,White black
6071,61-70,male,3,34,Cocker Spaniel,,,,2014,male,black
6103,51-60,female,4,42,Zwergrauhaardackel,,,,2009,female,red
6314,61-70,male,10,101,Jack Russel Terrier,,,,2005,female,tricolor
6321,51-60,female,8,81,Mops,,,,2011,male,beige
6364,61-70,male,,,Appenzeller,,Border Collie,,2013,male,tricolor
6469,41-50,male,11,111,Mops,,,,2011,male,beige
6594,51-60,male,7,72,Staffordshire Bull Terrier,,,,2005,female,mahogany / white
6600,51-60,male,6,63,Mischling klein,,,,2004,male,brown
6617,61-70,female,12,122,Grosspudel,,,,2012,female,White
6629,51-60,female,4,41,Spitz,Mixed,,,1997,female,tan
6640,51-60,male,8,82,Englische Bulldogge,,,,2011,male,brown / white
12349,51-60,male,4,41,English Springer Spaniel,,,,2005,male,brown / white
12371,51-60,female,2,23,Malteser,,,,2001,female,White
12409,61-70,male,9,91,Mischling klein,,,,2008,female,white / black / brown
13119,51-60,male,10,102,Dobermann,,,,2006,female,brown / red
13140,51-60,male,3,33,Jack Russel Terrier,,,,2002,female,tricolor
13193,51-60,male,11,111,Langhaardackel,,,,2005,female,tan
14693,41-50,male,11,111,Chihuahua,,,,2007,female,white / gray
15456,41-50,male,2,21,Chihuahua,,,,2010,male,black
18020,41-50,male,5,52,Labrador Retriever,,,,2011,female,black
18360,31-40,female,3,31,Husky,,,,2010,female,White
18805,41-50,female,6,63,Jack Russel Terrier,,,,2008,male,tricolor
19004,51-60,male,5,52,Malteser,,,,2014,male,White
19141,61-70,male,4,42,Bolonka Zwetna,,,,2012,male,black
19652,51-60,female,2,24,Mischling klein,,,,2007,female,brown
19839,51-60,male,2,23,Labrador Retriever,Mixed,,,2009,female,black
20016,81-90,male,6,63,Kleinspitz,,,,2011,male,black / brown / white
20205,81-90,male,7,73,Toypudel,,,,2001,female,black
20483,61-70,male,12,121,Terrier,Mixed,,,2002,male,black / tan
20510,41-50,male,9,91,Berger blanc Suisse,,,,2006,male,White
20580,41-50,male,4,44,Chihuahua,,,,2011,male,tan
20762,51-60,male,4,42,Zwergpudel,,,,2012,male,apricot
21270,41-50,male,8,81,Grosspudel,,,,2012,male,brown
21393,51-60,male,2,24,Französische Bulldogge,,,,2012,male,blue
21828,71-80,female,7,74,Spitz,Mixed,,,2013,male,white / beige
21865,61-70,male,6,61,Foxterrier,,,,2005,male,tricolor
22186,41-50,male,8,82,Labrador Retriever,,Border Collie,,2009,male,black
22378,51-60,male,7,72,Kooiker,,,,2010,female,white / orange
22479,51-60,male,7,72,Mischling klein,,,,2001,female,gray tabby
22950,51-60,female,11,119,Mittelpudel,,,,2013,female,black
22956,41-50,male,10,102,Cocker Spaniel,,,,2014,male,orange mold
23054,61-70,female,10,101,Cairn Terrier,,,,2011,male,red / beige
23408,31-40,male,12,122,Yorkshire Terrier,,,,2011,female,black / tan
